timestamp,joint_names,desired_positions,actual_positions,error_positions,desired_velocities,actual_velocities
1755197444.4180567,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7329056872479478, -0.8378367131701887, 0.7329432553219293, -0.8378711662597804, 0.7328881726338411, 0.7329169219510756]","[0.7383135557174683, -0.8324377697757264, 0.738443676625387, -0.8324844402125855, 0.7383962273597717, 0.7383966445922852]","[-0.00540786846952046, -0.005398943394462341, -0.0055004213034577365, -0.005386726047194923, -0.005508054725930633, -0.00547972264120955]","[-0.18393621484045097, -0.1839427477973536, -0.18394076605681262, -0.18393857394843238, -0.18393409301758806, -0.1839375758781427]","[-0.17415547370910645, -0.17498156428337097, -0.17363815009593964, -0.1828256994485855, -0.178850457072258, -0.1769362986087799]"
1755197444.4662004,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.723348947750704, -0.8473937920990519, 0.7233862793579885, -0.8474280283287562, 0.7233315433797507, 0.7233601117386511]","[0.7292883396148682, -0.8414325279048462, 0.7293275038348597, -0.8415507239154358, 0.7291879653930664, 0.7292597889900208]","[-0.005939391864164145, -0.005961264194205618, -0.005941224476871176, -0.00587730441332035, -0.00585642201331571, -0.005899677251369639]","[-0.19845837495970753, -0.19846542370762102, -0.1984632855043983, -0.19846092032434248, -0.19845608561436193, -0.19845984345425488]","[-0.19020511209964752, -0.1900000125169754, -0.19082006812095642, -0.1909484714269638, -0.17490315437316895, -0.1726645529270172]"
1755197444.4805825,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7130688275856644, -0.8576742773883932, 0.7131059048273192, -0.8577082803433805, 0.713051541802527, 0.7130799155057689]","[0.7194700241088867, -0.8511527341655274, 0.719431225453512, -0.851196364765503, 0.719306468963623, 0.7193648815155029]","[-0.006401196523222352, -0.0065215432228658, -0.006325320626192843, -0.006511915577877558, -0.006254927161096102, -0.00628496600973405]","[-0.21261316855696397, -0.21262072004794313, -0.212618429340069, -0.21261589546652512, -0.21261071592694547, -0.21261474179003503]","[-0.20438304543495178, -0.19952768087387085, -0.20234166085720062, -0.2039082944393158, -0.1974240243434906, -0.2163185477256775]"
1755197444.545599,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7021009812457587, -0.8686425132789238, 0.7021377871050665, -0.8686762673534302, 0.7020838219838024, 0.7021119880091848]","[0.708798885345459, -0.8618635696223755, 0.7088454405414026, -0.8620164555362244, 0.7088242769241333, 0.7089389562606812]","[-0.00669790409970028, -0.0067789436565482974, -0.0067076534363361695, -0.006659811817205763, -0.006740454940330931, -0.006826968251496313]","[-0.22637799888680904, -0.2263860392703285, -0.2263836002592921, -0.2263809023397504, -0.2263753874705955, -0.22637967397286712]","[-0.21512039005756378, -0.22166946530342102, -0.21664436161518097, -0.21551020443439484, -0.21554191410541534, -0.2115994095802307]"
1755197444.6083105,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6904386138657176, -0.8803052948772501, 0.6904751311578321, -0.8803387843113236, 0.6904215891366903, 0.6904495343333503]","[0.6981511116027832, -0.8726474803737183, 0.69812518755068, -0.8726204794696351, 0.6979372501373291, 0.6980642676353455]","[-0.007712497737065616, -0.007657814503531757, -0.0076500563928478815, -0.007718304841688561, -0.007515661000638829, -0.007614733301995136]","[-0.23978429615717367, -0.23979281269903074, -0.2397902292476903, -0.23978737155506294, -0.23978153009067504, -0.23978607044325015]","[-0.23006056249141693, -0.23340360820293427, -0.23048092424869537, -0.23600336909294128, -0.22315005958080292, -0.23033730685710907]"
1755197444.6279476,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6781212805831156, -0.8926230656408971, 0.6781574931019215, -0.8926562755721643, 0.6781043979424715, 0.6781321099085288]","[0.6862098574638367, -0.8844291728786011, 0.6862495581256312, -0.8843788069537659, 0.6862486600875854, 0.6861562728881836]","[-0.008088576880721066, -0.008193892762295985, -0.008092065023709627, -0.008277468618398398, -0.00814426214511399, -0.008024162979654803]","[-0.25280678209438023, -0.25281576116255094, -0.25281303740611427, -0.2528100245145742, -0.25280386580510783, -0.25280865274045966]","[-0.2445497065782547, -0.242762953042984, -0.24405470490455627, -0.23814846575260162, -0.25432711839675903, -0.2507483661174774]"
1755197444.6842391,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6651612025965125, -0.9055836039372387, 0.6651970944382889, -0.9056165197806473, 0.6651444694587261, 0.665171936023711]","[0.6736164093017578, -0.8971104782870789, 0.6736324469195765, -0.8973517578891297, 0.673642635345459, 0.6737105846405029]","[-0.008455206705245355, -0.008473125650159785, -0.008435352481287572, -0.008264761891517591, -0.008498165886732911, -0.008538648616791877]","[-0.2654531575415787, -0.26546258577755383, -0.2654597257682594, -0.2654565621602026, -0.26545009536820957, -0.26545512176462804]","[-0.2583213150501251, -0.2581526041030884, -0.25882667303085327, -0.25897693634033203, -0.23810860514640808, -0.24091984331607819]"
1755197444.8159554,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6515821576662462, -0.9191631311614098, 0.6516177135156163, -0.9191957388714688, 0.6515655811715005, 0.6515927906151784]","[0.6605357527732849, -0.9101452988437195, 0.6606367270099085, -0.9102891248515625, 0.6603928208351135, 0.6604706048965454]","[-0.008953595107038748, -0.009017832317690266, -0.009019013494292238, -0.008906614019906223, -0.008827239663612985, -0.008877814281367025]","[-0.27771893444736534, -0.27772879833323116, -0.277725806171672, -0.277722496382982, -0.27771573078034906, -0.2777209894311422]","[-0.2710780203342438, -0.2689756453037262, -0.2716791033744812, -0.2681267559528351, -0.27457019686698914, -0.263451486825943]"
1755197444.819956,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6373929804136137, -0.9333528123783299, 0.6374281851737993, -0.9333850981100213, 0.6373765676001787, 0.6374035083696001]","[0.6466801762580872, -0.9240729969790955, 0.6465995947467249, -0.9241906565478821, 0.6466596126556396, 0.6467637419700623]","[-0.009287195844473461, -0.009279815399234392, -0.009171409572925615, -0.009194441562139222, -0.009283045055460959, -0.00936023360046212]","[-0.2896129576637666, -0.28962324399575673, -0.2896201236872308, -0.2896166721483804, -0.2896096167915218, -0.28961510065747625]","[-0.28061336278915405, -0.28376927971839905, -0.2810595631599426, -0.2751665711402893, -0.29116278886795044, -0.28076082468032837]"
1755197444.8327904,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.6226244237947731, -0.9481218935395723, 0.6226592631299304, -0.9481538441457193, 0.6226081813461631, 0.6226348424706907]","[0.6323602199554443, -0.9383542698672791, 0.6323707739459437, -0.938517228966095, 0.6321113705635071, 0.6323099136352539]","[-0.009735796160671217, -0.009767623672293224, -0.009711510816013291, -0.00963661517962433, -0.009503189217343944, -0.009675071164563231]","[-0.3011252026930191, -0.3011358979113218, -0.30113265356913177, -0.30112906483006313, -0.3011217290196034, -0.30112743087169036]","[-0.2920059263706207, -0.2910988926887512, -0.29303696751594543, -0.29252585768699646, -0.28448349237442017, -0.27951952815055847]"
1755197444.891736,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.607303537809771, -0.9634433236843416, 0.6073379980533663, -0.9634749266315816, 0.6072874720974617, 0.6073138431186536]","[0.617293119430542, -0.9534164232066651, 0.6173575560199183, -0.9534795445254822, 0.6172662973403931, 0.6173834800720215]","[-0.009989581620771015, -0.010026900477676515, -0.010019557966551962, -0.009995382106099404, -0.009978825242931366, -0.010069636953367933]","[-0.3122508588488584, -0.31226194922279826, -0.31225858501207726, -0.3122548636800655, -0.3122472568338237, -0.31225316935192343]","[-0.30570855736732483, -0.3035527169704437, -0.30585768818855286, -0.3050729036331177, -0.3010963797569275, -0.29449790716171265]"
1755197444.9287965,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.5914178650952113, -0.9793295606184886, 0.5914519322724731, -0.9793608030907782, 0.5914019826343817, 0.5914280528579144]","[0.6018678545951843, -0.9689600628665467, 0.6017916838275355, -0.9689695996097107, 0.6016450524330139, 0.6016596555709839]","[-0.010449989499973, -0.010369497751941958, -0.010339751555062393, -0.01039120348106748, -0.01024306979863221, -0.010231602713069443]","[-0.32301234744049007, -0.3230238200357409, -0.32302033988005374, -0.3230164902951617, -0.32300862128474417, -0.32301473757328764]","[-0.31597915291786194, -0.31470754742622375, -0.3157753050327301, -0.3047690689563751, -0.3200531303882599, -0.33322229981422424]"
1755197444.9883544,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.5749974534532686, -0.9957505554726155, 0.5750311143329113, -0.9957814253357509, 0.5749817604124772, 0.5750075197129866]","[0.5850674510002136, -0.9856284421733399, 0.5850546995746058, -0.9857167166522522, 0.5851137042045593, 0.5851250886917114]","[-0.010069997546945042, -0.010122113299275592, -0.010023585241694444, -0.010064708683498624, -0.010131943792082154, -0.010117568978724845]","[-0.33340040639789414, -0.33341224795116414, -0.3334086558738654, -0.3334046824865394, -0.33339656040918864, -0.3334028733972283]","[-0.326779305934906, -0.32677987217903137, -0.3284923732280731, -0.32609793543815613, -0.339101105928421, -0.3345893323421478]"
1755197445.0562775,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.5580654856783536, -1.012683124628916, 0.5580987276027142, -1.0127136102747538, 0.5580499879587304, 0.5580754266498223]","[0.5691506862640381, -1.001577453022339, 0.5691412130938929, -1.0017322462848206, 0.5690631866455078, 0.5691820979118347]","[-0.011085200585684518, -0.011105671606577161, -0.0110424854911787, -0.010981363989933213, -0.011013198686777415, -0.011106671262012369]","[-0.34341184600215163, -0.3434240431368579, -0.3434203431956687, -0.3434162504943693, -0.3434078845250336, -0.34341438708122396]","[-0.3348153829574585, -0.33502745628356934, -0.3374924659729004, -0.342418372631073, -0.32578244805336, -0.32122889161109924]"
1755197445.1207674,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.5406766039304289, -1.0300726239866742, 0.54070941559388, -1.030102715047001, 0.5406613068027711, 0.5406864162327094]","[0.5519333481788635, -1.018742398624756, 0.5519955793963831, -1.0188061755946656, 0.5520095229148865, 0.5520333647727966]","[-0.011256744248434591, -0.0113302253619183, -0.011286163802503135, -0.011296539452335441, -0.011348216112115339, -0.01134694854008722]","[-0.35302739356371377, -0.3530399322187557, -0.3530361286790421, -0.35303192138191714, -0.3530233211650534, -0.3530300057931176]","[-0.3470635414123535, -0.34848514199256897, -0.34660372138023376, -0.36074522137641907, -0.3402198255062103, -0.3411732614040375]"
1755197445.1288264,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.5227773169563907, -1.0479725466988703, 0.5228096857297463, -1.0480022315916586, 0.5227622263085518, 0.5227869968127347]","[0.5337905883789062, -1.0369872015765687, 0.5337851683246058, -1.03702004373584, 0.533791720867157, 0.5338380336761475]","[-0.011013271422515514, -0.010985345122301649, -0.010975482594859476, -0.010982187855818726, -0.011029494558605135, -0.0110510368634128]","[-0.36228682923653655, -0.3622996967637053, -0.36229579346223983, -0.3622914758133466, -0.3622826500243141, -0.3622895099812187]","[-0.35392525792121887, -0.35005804896354675, -0.35533538460731506, -0.35196733474731445, -0.358003169298172, -0.36033329367637634]"
1755197445.1843972,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.50444108799156, -1.0663094269209519, 0.5044730030633683, -1.0663386957311891, 0.5044262088639477, 0.5044506321688111]","[0.5156461000442505, -1.055117980842926, 0.5156272093402308, -1.0552503031543274, 0.5157461762428284, 0.5157510638237]","[-0.011205012052690533, -0.011191446078025802, -0.011154206276862477, -0.011088392576861672, -0.011319967378880635, -0.01130043165488881]","[-0.37116071326041195, -0.37117389596587197, -0.3711698970566124, -0.3711654736508647, -0.37115643168221424, -0.37116345966747954]","[-0.36734455823898315, -0.3705519139766693, -0.36672380566596985, -0.3646278381347656, -0.37395671010017395, -0.37044283747673035]"
1755197445.2504544,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.4856676373191837, -1.0850835443796063, 0.48569908787107174, -1.085112387185933, 0.4856529747554324, 0.48567704258211636]","[0.49791857600212097, -1.0728877645782013, 0.4978850523578089, -1.0726481539062043, 0.49790510535240173, 0.49789610505104065]","[-0.012250938682937251, -0.01219577980140496, -0.012185964486737144, -0.012464233279728676, -0.012252130596969335, -0.012219062468924291]","[-0.37965898344276094, -0.37967246798564264, -0.3796683775154768, -0.37966385282935144, -0.37965460383153604, -0.3796617927328559]","[-0.3747974932193756, -0.3700556755065918, -0.37425121665000916, -0.3622181713581085, -0.37715011835098267, -0.3887374699115753]"
1755197445.2786744,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.46648060151141957, -1.1042712616631645, 0.4665115773098645, -1.1042996690805775, 0.4664661602825005, 0.46648986479970644]","[0.47819143533706665, -1.0925595623305817, 0.4782307783709925, -1.092629299764969, 0.47821012139320374, 0.47825857996940613]","[-0.011710833825647082, -0.011711699332582759, -0.011719201061128004, -0.011670369315608609, -0.01174396111070325, -0.011768715169699684]","[-0.3877794229559681, -0.38779319591666583, -0.38778901795636533, -0.3877843964927592, -0.38777494967023635, -0.387782292333329]","[-0.38542014360427856, -0.38810965418815613, -0.3852224349975586, -0.37233442068099976, -0.3913586735725403, -0.39324408769607544]"
1755197445.3348832,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.4469050032052635, -1.123847555245888, 0.446935494635889, -1.1238755184571942, 0.4468907877934956, 0.446914121643733]","[0.4596344232559204, -1.1111599963954468, 0.45959979692568, -1.1111937028220673, 0.4596833288669586, 0.4596586227416992]","[-0.012729420050656914, -0.01268755885044115, -0.012664302289790985, -0.012681815635126936, -0.012792541073463004, -0.01274450109796621]","[-0.39551983188103035, -0.39553387976180276, -0.39552961840584144, -0.39552490469386925, -0.39551526930468967, -0.3955227585336173]","[-0.390487939119339, -0.3871475160121918, -0.38890159130096436, -0.3832353353500366, -0.39481696486473083, -0.38574379682540894]"
1755197445.3780274,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.42692637324704635, -1.1438268947953543, 0.42695637033745926, -1.1438544046550292, 0.42691238830165973, 0.4269353438534621]","[0.4400099217891693, -1.1308256548694153, 0.4398906866656702, -1.1307407182506104, 0.4399292767047882, 0.4398854076862335]","[-0.013083548542122958, -0.013001239925938934, -0.01293431632821096, -0.01311368640441879, -0.01301688840312848, -0.012950063832771419]","[-0.40289270103361224, -0.4029070107803606, -0.40290266998863566, -0.4028978684085497, -0.4028880534064709, -0.4028956822418114]","[-0.3963336646556854, -0.3939242362976074, -0.3971606194972992, -0.40888911485671997, -0.4019498825073242, -0.40094903111457825]"
1755197445.4420962,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.4066236728609236, -1.1641303162829022, 0.4066531675925038, -1.164157365437195, 0.40660992212027963, 0.40663249323732353]","[0.41976484656333923, -1.1509436827949067, 0.4199469725238245, -1.151063011293747, 0.41988134384155273, 0.41993293166160583]","[-0.013141173702415632, -0.013186633487995536, -0.013293804931320707, -0.013094354143448061, -0.013271421721273102, -0.013300438424282301]","[-0.40987619450185003, -0.4098907522849185, -0.4098863362525883, -0.409881451444876, -0.40987146631560767, -0.40987922738447247]","[-0.4061512053012848, -0.40522468090057373, -0.40729042887687683, -0.4201483130455017, -0.3981367349624634, -0.40306511521339417]"
1755197445.482425,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.3859518920578583, -1.184802831296211, 0.38598087529828323, -1.1848294113700129, 0.3859383797795376, 0.3859605594732285]","[0.39950284361839294, -1.1713334184936066, 0.3993724028216761, -1.171279327278473, 0.39947476983070374, 0.3994198739528656]","[-0.013550951560534652, -0.013469412802604275, -0.013391527523392843, -0.013550084091539905, -0.013536390051166136, -0.013459314479637108]","[-0.41649251151462763, -0.4165073042928217, -0.41650281697586883, -0.4164978533164525, -0.41648770700490156, -0.41649559335474795]","[-0.4134743809700012, -0.4112003743648529, -0.4127998352050781, -0.4251379668712616, -0.4043150544166565, -0.4031183123588562]"
1755197445.5360737,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.36496164797017316, -1.2057938209051633, 0.3649901118395629, -1.2058199246719599, 0.36494837782785516, 0.3649701600680416]","[0.3787142336368561, -1.1921596986106415, 0.37864858308901006, -1.1920871299556275, 0.37867528200149536, 0.3786311745643616]","[-0.013752585666682915, -0.013634122294521767, -0.013658471249447135, -0.013732794716332375, -0.013726904173640198, -0.013661014496319956]","[-0.4227305595097546, -0.4227455738478993, -0.42274101932181857, -0.42273598131881907, -0.4227256830401218, -0.4227336875083676]","[-0.4207814037799835, -0.4207308292388916, -0.4184998869895935, -0.43060943484306335, -0.4086601436138153, -0.41146203875541687]"
1755197445.6136513,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.3436988134898128, -1.227057410588524, 0.3437267512433408, -1.2270830318627408, 0.34368578862800336, 0.3437071682531445]","[0.35754650831222534, -1.2132890087417145, 0.35754090944399053, -1.213374302988388, 0.35760989785194397, 0.357649564743042]","[-0.013847694822412548, -0.013768401846809386, -0.01381415820064974, -0.013708728874352705, -0.013924109223940606, -0.01394239648989748]","[-0.42858339527628075, -0.428598617492596, -0.4285939999076883, -0.4285888921519741, -0.4285784512904128, -0.4285865665830052]","[-0.4251203238964081, -0.42624548077583313, -0.426334947347641, -0.4396401643753052, -0.4212419390678406, -0.42385563254356384]"
1755197445.6428046,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.3221264769657304, -1.2486305133083493, 0.32215388094524855, -1.2486556450668198, 0.3221137009547353, 0.3221346721043622]","[0.3362377882003784, -1.2347186666778107, 0.33615380922426397, -1.234558330183365, 0.3361678421497345, 0.33628740906715393]","[-0.014111311234648038, -0.013911846630538571, -0.013999928279015417, -0.014097314883454892, -0.014054141194999203, -0.014152736962791734]","[-0.4340664876102644, -0.43408190457238294, -0.43407722791228787, -0.4340720548103738, -0.4340614803733903, -0.4340696994891804]","[-0.43010038137435913, -0.4259900152683258, -0.4284593462944031, -0.43779096007347107, -0.4375922381877899, -0.43290701508522034]"
